Resource,Directory,Environment,Account
apt.grindr.io,./structure/resources/s3/apt.grindr.io/Makefile,NA,284224159432
artemis,./structure/environments/development/resources/artemis/Makefile,development,preprod
artemis,./structure/environments/production/resources/artemis/Makefile,production,prod-3.0
artemis,./structure/environments/staging/resources/artemis/Makefile,staging,staging
artemis,./structure/hubs/hub1/resources/artemis/Makefile,NA,prod-2.0
atlas,./structure/environments/datascience/atlas/Makefile,datascience,prod-3.0
atlas,./structure/environments/datascience/loadbalancing/Makefile,datascience,prod-3.0
atlas,./structure/environments/datascience/peering/Makefile,datascience,prod-3.0
atlas,./structure/environments/datascience/resources/collect/Makefile,datascience,prod-3.0
atlas,./structure/environments/datascience/resources/datalake/Makefile,datascience,prod-3.0
atlas,./structure/environments/datascience/resources/dcos_masters/Makefile,datascience,prod-3.0
atlas,./structure/environments/datascience/resources/dcos_public_workers/Makefile,datascience,prod-3.0
atlas,./structure/environments/datascience/resources/dcos_services_workers/Makefile,datascience,prod-3.0
atlas,./structure/environments/datascience/resources/live_reporting_kafka/Makefile,datascience,prod-3.0
atlas,./structure/environments/datascience/resources/manager/Makefile,datascience,prod-3.0
atlas,./structure/environments/datascience/resources/redshift/Makefile,datascience,prod-3.0
atlas,./structure/environments/development/atlas/Makefile,development,preprod
atlas,./structure/environments/development/iam/Makefile,development,preprod
atlas,./structure/environments/development/loadbalancing/Makefile,development,preprod
atlas,./structure/environments/development/peering/Makefile,development,preprod
atlas,./structure/environments/development/resources/auth_captcha/Makefile,development,preprod
atlas,./structure/environments/development/resources/cdn/Makefile,development,preprod
atlas,./structure/environments/development/resources/collect/Makefile,development,preprod
atlas,./structure/environments/development/resources/docker_registry/Makefile,development,preprod
atlas,./structure/environments/development/resources/legal_agreements/Makefile,development,preprod
atlas,./structure/environments/development/resources/manager/Makefile,development,preprod
atlas,./structure/environments/development/resources/mesos_masters/Makefile,development,preprod
atlas,./structure/environments/development/resources/mesos_public_workers/Makefile,development,preprod
atlas,./structure/environments/development/resources/mesos_services_workers/Makefile,development,preprod
atlas,./structure/environments/development/resources/mobile_configs/Makefile,development,preprod
atlas,./structure/environments/development/resources/presence/Makefile,development,preprod
atlas,./structure/environments/development/resources/artemis/Makefile,development,preprod
atlas,./structure/environments/development/resources/sonar-backend/Makefile,development,preprod
atlas,./structure/environments/development/resources/monkeyisland/Makefile,development,preprod
atlas,./structure/environments/development/resources/code_pipeline_admin/Makefile,development,preprod
atlas,./structure/environments/production/atlas/Makefile,production,prod-3.0
atlas,./structure/environments/production/peering/Makefile,production,prod-3.0
atlas,./structure/environments/production/resources/artemis/Makefile,production,prod-3.0
atlas,./structure/environments/production/resources/auth_captcha/Makefile,production,prod-3.0
atlas,./structure/environments/production/resources/cdn/Makefile,production,prod-3.0
atlas,./structure/environments/production/resources/collect/Makefile,production,prod-3.0
atlas,./structure/environments/production/resources/es_cascade/Makefile,production,prod-3.0
atlas,./structure/environments/production/resources/gocd/Makefile,production,prod-3.0
atlas,./structure/environments/production/resources/kafka/Makefile,production,prod-3.0
atlas,./structure/environments/production/resources/legal_agreements/Makefile,production,prod-3.0
atlas,./structure/environments/production/resources/manager/Makefile,production,prod-3.0
atlas,./structure/environments/production/resources/presence/Makefile,production,prod-3.0
atlas,./structure/environments/production/resources/zookeeper/Makefile,production,prod-3.0
atlas,./structure/environments/production/resources/recommendation/Makefile,production,prod-3.0
atlas,./structure/environments/production/resources/subscriptions-migration/Makefile,production,prod-3.0
atlas,./structure/environments/production/resources/data_retention/Makefile,production,prod-3.0
atlas,./structure/environments/staging/atlas/Makefile,staging,staging
atlas,./structure/environments/staging/peering/Makefile,staging,staging
atlas,./structure/environments/staging/resources/artemis/Makefile,staging,staging
atlas,./structure/environments/staging/resources/aurora/Makefile,staging,staging
atlas,./structure/environments/staging/resources/aurora_chat/Makefile,staging,staging
atlas,./structure/environments/staging/resources/cdn/Makefile,staging,staging
atlas,./structure/environments/staging/resources/collect/Makefile,staging,staging
atlas,./structure/environments/staging/resources/dsci_kafka_load_test/Makefile,staging,staging
atlas,./structure/environments/staging/resources/elasticsearch/Makefile,staging,staging
atlas,./structure/environments/staging/resources/es_cascade/Makefile,staging,staging
atlas,./structure/environments/staging/resources/manager/Makefile,staging,staging
atlas,./structure/environments/staging/resources/presence/Makefile,staging,staging
atlas,./structure/environments/staging/resources/rabbitmq/Makefile,staging,staging
atlas,./structure/environments/staging/resources/redis_cluster/Makefile,staging,staging
atlas,./structure/environments/staging/resources/zookeeper/Makefile,staging,staging
atlas,./structure/hubs/hub1/atlas/Makefile,NA,prod-2.0
atlas,./structure/hubs/hub1/peering/Makefile,NA,prod-2.0
atlas,./structure/hubs/hub1/resources/artemis/Makefile,NA,prod-2.0
atlas,./structure/hubs/hub1/resources/collect/Makefile,NA,prod-2.0
atlas,./structure/hubs/hub1/resources/elasticsearch/Makefile,NA,prod-2.0
atlas,./structure/hubs/hub1/resources/kibana/Makefile,NA,prod-2.0
atlas,./structure/hubs/hub1/resources/logstash/Makefile,NA,prod-2.0
atlas,./structure/hubs/hub1/resources/manager/Makefile,NA,prod-2.0
atlas,./structure/hubs/hub1/resources/monkeyisland/Makefile,NA,prod-2.0
atlas,./structure/hubs/hub1/resources/nagios/Makefile,NA,prod-2.0
atlas,./structure/hubs/hub1/resources/psyclone/Makefile,NA,prod-2.0
atlas,./structure/hubs/hub1/resources/redis/Makefile,NA,prod-2.0
atlas,./structure/hubs/hub1/resources/data-retention/Makefile,NA,prod-2.0
atlas,./structure/modules/code_pipeline/Makefile,NA,
atlas,./structure/resources/accounts/development/autospotting/Makefile,NA,preprod
atlas,./structure/resources/accounts/development/iam/Makefile,NA,preprod
atlas,./structure/resources/accounts/development/keys/Makefile,NA,preprod
atlas,./structure/resources/accounts/legacy/autospotting/Makefile,NA,prod-2.0
atlas,./structure/resources/accounts/legacy/iam/Makefile,NA,prod-2.0
atlas,./structure/resources/accounts/legacy/keys/Makefile,NA,prod-2.0
